Site ID,Program Code,Program Name,Address 1,Address 2,Zipcode,Program Type,Enrollment,Daily Start Time,Length of Pre-K Day,Early Drop-Off Available,Late Pick-Up Available,Meals,Playspace,Dual Language,Collaborative Teachers - Survey Percent Positive,Supportive Environment - Survey Percent Positive,Effective School Leadership - Survey Percent Positive,Strong Family-Community Ties - Survey Percent Positive,Trust - Survey Percent Positive,Survey - Number of Guardian Responses,Survey - Guardian Response Rate,CLASS Most Recent Assessment Year,CLASS Emotional Support Score,CLASS Emotional Support Rating,CLASS Classroom Organization Score,CLASS Classroom Organization Rating,CLASS Instructional Support Score,CLASS Instructional Support Rating,ECERS Most Recent Assessment Year,ECERS Observation Average Score,ECERS Observation Average Rating,ECERS Language Reasoning Score,ECERS Language Reasoning Rating,ECERS Interaction Score,ECERS Interaction Rating,ECERS Activities Score,ECERS Activities Rating,ECERS Personal Care Routines Score,ECERS Personal Care Routines Rating,ECERS Space and Furnishings Score,ECERS Space and Furnishings Rating,ECERS Program Structure Score,ECERS Program Structure Rating,Total.ECERS,Quality Review - Date of Review,Quality Review - How well do teachers work with each other?
01M015,01M015,P.S. 015 Roberto Clemente,333 East 4 Street,"New York, NY 10009",10009,District School,17,8:40 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,92,100%,100%,96%,100%,10,71,2017-18 School Year,4.9,2,3.6,2,1.5,1,2015-16 School Year,3.3,2,4.3,3,3.2,2,3.1,2,2.7,3,3.5,3,3.3,2,40.4,Mar-17,3
01M019,01M019,P.S. 019 Asher Levy,185 First Avenue,"New York, NY 10003",10003,District School,13,8:00 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,87,100%,96%,94%,93%,7,100,2017-18 School Year,6.5,4,6.4,4,3.1,2,2015-16 School Year,3.9,3,5,4,6.6,4,3.9,3,2.7,3,3.1,2,2.3,1,47.5,Oct-16,4
01M020,01M020,P.S. 020 Anna Silver,166 ESSEX STREET,"New York, NY 10002",10002,District School,34,7:45 AM,Full day,No,No,Breakfast / Lunch / Snack(s),Indoor/Outdoor (onsite) playspace,Dual Language (Spanish/Chinese),80,100%,90%,95%,91%,11,65,2016-17 School Year,6.5,4,6.1,4,2.1,2,2015-16 School Year,3.9,3,5.3,4,5.2,4,3.6,3,2.5,3,3.3,2,4.8,3,50.6,Apr-17,2
01M034,01M034,P.S. 034 Franklin D. Roosevelt,730 East 12 Street,"New York, NY 10009",10009,District School,13,N/A,Full day,Contact Program,Contact Program,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,61,,,,,1,20,2017-18 School Year,6.8,4,5.7,3,3.2,2,2016-17 School Year,3.9,3,5,4,5.4,4,3.8,3,2.5,3,3.6,3,4,3,51.2,Oct-17,3
01M063,01M063,The STAR Academy - P.S.63,121 East 3 Street,"New York, NY 10009",10009,District School,26,8:15 AM,Full day,Yes,Yes,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,92,100%,98%,94%,97%,16,84,2017-18 School Year,6.6,4,6.1,4,2.7,2,2016-17 School Year,3.3,2,3.5,3,6,4,2.7,1,2.5,3,2.8,1,3.3,2,40.1,27-Oct-15,4
01M064,01M064,P.S. 064 Robert Simon,600 East 6 Street,"New York, NY 10009",10009,District School,35,8:20 AM,Full day,Contact Program,Yes,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,91,100%,100%,95%,100%,9,36,2016-17 School Year,6.6,4,6.4,4,3.2,2,2017-18 School Year,4.5,3,6.8,4,5.6,4,5.1,4,2.5,3,3.4,3,4.5,3,56.4,Jan-18,4
01M110,01M110,P.S. 110 Florence Nightingale,285 DELANCY STREET,"New York, NY 10002",10002,District School,30,8:20 AM,Full day,Contact Program,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,91,100%,95%,92%,90%,12,75,2017-18 School Year,6.8,4,6.6,4,2,2,2015-16 School Year,2.9,1,4.3,3,2.6,1,2.8,1,2.5,3,2.8,1,3,2,32.9,Oct-16,3
01M134,01M134,P.S. 134 Henrietta Szold,293 EAST BROADWAY,"New York, NY 10002",10002,District School,20,8:15 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,86,,,,,4,50,2016-17 School Year,6.7,4,6.5,4,2.3,2,2017-18 School Year,3.1,2,3.5,3,5.4,4,2.3,1,3.3,3,3,2,1.3,1,37.9,10-Nov-15,3
01M140,01M140,P.S. 140 Nathan Straus,123 RIDGE STREET,"New York, NY 10002",10002,District School,18,8:00 AM,Full day,No,No,Breakfast / Lunch,Outdoor (onsite) playspace,,80,100%,85%,97%,94%,5,100,2017-18 School Year,6.7,4,6.2,4,2.6,2,2016-17 School Year,2.5,1,3.8,3,2.6,1,3.1,2,1.5,2,2.4,1,1.8,1,28.7,Jan-18,3
01M142,01M142,P.S. 142 Amalia Castro,100 ATTORNEY STREET,"New York, NY 10002",10002,District School,32,8:20 AM,Full day,Yes,Yes,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,85,95%,95%,92%,93%,20,80,2016-17 School Year,6,4,5.7,3,2.1,2,2015-16 School Year,3.8,3,5.8,4,6.8,4,2.3,1,2.8,3,3.3,2,4.3,3,49.1,Feb-18,3
